Generation,BestFitness,AverageFitness,SpeciesCount,AverageComplexity
0,606.000000,68.518555,1,23.000000
1,640.000000,89.774948,1,23.193333
2,642.000000,119.063684,6,23.406667
3,642.000000,135.676443,6,26.606667
4,673.000000,192.416132,12,26.653333
5,673.000000,220.242839,12,28.620000
6,673.000000,200.854360,15,28.573333
7,698.000000,228.478820,18,29.860000
8,698.000000,261.517069,23,29.960000
9,699.000000,280.212747,29,29.293333
10,700.000000,308.082486,33,29.800000
11,700.000000,333.432039,34,29.986667
12,700.000000,325.354481,38,30.460000
13,700.000000,367.367601,44,31.440000
14,703.000000,385.446027,43,31.506667
15,703.000000,365.027798,45,31.466667
16,703.000000,386.852983,46,32.173333
17,703.000000,392.150173,47,32.480000
18,703.000000,397.739876,49,32.553333
19,704.000000,413.459348,50,32.993333
20,704.000000,399.030854,50,33.273333
21,704.000000,416.797991,51,33.193333
22,704.000000,441.950899,55,33.333333
23,704.000000,398.126414,54,33.513333
24,704.000000,447.647784,55,33.886667
25,704.000000,450.486047,56,33.953333
26,704.000000,406.280011,57,33.720000
27,704.000000,449.743750,58,34.040000
28,704.000000,431.344599,58,33.973333
29,704.000000,439.166054,60,34.273333
30,704.000000,412.406821,60,34.620000
31,704.000000,455.478309,61,34.540000
32,704.000000,472.846472,63,34.586667
33,704.000000,462.288012,65,34.906667
34,704.000000,414.172799,67,34.866667
35,704.000000,428.743552,70,35.066667
36,704.000000,480.565804,70,35.493333
37,704.000000,452.367218,73,35.446667
38,704.000000,458.197101,73,35.866667
39,704.000000,462.105450,73,35.740000
40,704.000000,440.483918,73,35.573333
41,704.000000,469.405169,73,36.166667
42,705.000000,460.554967,74,36.113333
43,705.000000,474.813809,75,36.360000
44,705.000000,466.627286,75,36.420000
45,705.000000,477.508108,75,36.400000
46,705.000000,481.264846,75,36.673333
47,705.000000,477.301643,76,36.420000
48,705.000000,484.880532,76,36.560000
49,705.000000,506.204219,77,36.826667
50,705.000000,464.914011,78,36.986667
51,705.000000,461.471288,78,37.213333
52,705.000000,495.513386,78,37.160000
53,705.000000,460.363111,82,37.033333
54,705.000000,472.948236,82,37.133333
55,705.000000,487.653794,82,37.146667
56,705.000000,477.447565,82,37.193333
57,705.000000,485.831278,84,37.240000
58,705.000000,493.073133,84,37.273333
59,705.000000,516.280446,85,37.326667
60,705.000000,500.049942,85,37.300000
61,705.000000,489.491271,86,37.333333
62,705.000000,512.564471,86,37.473333
63,705.000000,494.422846,86,37.673333
64,705.000000,510.465637,86,37.620000
65,705.000000,529.551683,86,37.966667
66,705.000000,500.910991,87,37.580000
67,705.000000,503.015609,87,37.746667
68,705.000000,518.209223,87,37.760000
69,705.000000,528.318487,87,37.813333
70,705.000000,527.131509,87,37.720000
71,705.000000,529.794832,88,37.660000
72,705.000000,512.828668,88,37.573333
73,705.000000,518.051534,90,37.986667
74,705.000000,530.054949,90,37.780000
75,705.000000,494.361387,90,37.920000
76,705.000000,522.205420,90,37.773333
77,705.000000,514.339953,90,37.926667
78,705.000000,534.288989,90,38.046667
79,705.000000,524.368715,90,37.533333
80,705.000000,506.643057,90,37.993333
81,705.000000,515.787635,91,37.860000
82,705.000000,532.690075,91,37.846667
83,705.000000,519.102334,91,37.713333
84,705.000000,519.221998,91,38.113333
85,705.000000,521.047537,91,37.820000
86,705.000000,517.365405,91,38.013333
87,705.000000,518.840213,92,37.926667
88,705.000000,523.752310,93,37.766667
89,705.000000,521.293250,93,37.986667
90,705.000000,530.878291,93,37.773333
91,705.000000,506.119168,94,38.186667
92,705.000000,518.868710,94,37.853333
93,705.000000,542.205385,94,37.926667
94,705.000000,550.461862,94,37.913333
95,705.000000,526.432324,95,37.880000
96,705.000000,541.553281,95,37.933333
97,705.000000,510.379247,95,37.993333
98,705.000000,519.227201,95,38.126667
99,705.000000,523.871197,95,37.866667
100,705.000000,547.208461,95,38.126667
101,705.000000,522.819097,95,38.093333
102,705.000000,538.582119,95,38.160000
103,705.000000,547.933811,95,38.160000
104,705.000000,540.780264,97,38.226667
105,705.000000,549.783669,97,38.146667
106,705.000000,543.079727,97,38.380000
107,705.000000,540.072823,97,38.153333
108,705.000000,525.167378,98,38.480000
109,705.000000,518.616197,98,38.446667
110,705.000000,524.059601,98,38.420000
111,705.000000,539.053686,98,38.340000
112,705.000000,540.946907,98,38.173333
113,705.000000,540.277028,98,38.186667
114,705.000000,547.090389,98,38.306667
115,705.000000,553.252326,99,38.420000
116,705.000000,546.559518,99,38.293333
117,705.000000,527.795274,99,38.560000
118,705.000000,553.195682,99,38.413333
119,705.000000,530.664671,99,38.593333
120,705.000000,530.629706,99,38.286667
121,705.000000,531.232223,99,38.693333
122,705.000000,544.067786,99,38.480000
123,705.000000,544.714700,99,38.526667
124,705.000000,525.864336,100,38.660000
125,705.000000,527.495415,100,38.733333
126,705.000000,526.341115,100,38.346667
127,705.000000,545.513772,100,39.093333
128,705.000000,541.978197,100,38.500000
129,705.000000,552.768185,100,38.926667
130,705.000000,535.561186,100,38.333333
131,705.000000,533.098432,100,38.660000
132,705.000000,549.733769,101,38.753333
133,705.000000,526.881926,102,38.553333
134,705.000000,541.139503,102,38.860000
135,705.000000,529.880950,102,38.666667
136,705.000000,509.477091,102,38.853333
137,705.000000,532.169753,102,38.813333
138,705.000000,530.718615,102,38.860000
139,705.000000,559.483289,102,38.813333
140,705.000000,552.518958,103,39.093333
141,705.000000,538.049625,103,38.953333
142,705.000000,524.813075,103,38.973333
143,705.000000,518.686536,103,38.566667
144,705.000000,528.272755,103,38.853333
145,705.000000,544.828220,103,38.646667
146,705.000000,550.597586,104,39.146667
147,705.000000,543.918770,104,38.686667
148,705.000000,531.499009,104,39.073333
149,705.000000,537.360514,104,38.800000
150,705.000000,541.704954,105,38.873333
151,705.000000,527.827232,105,38.686667
152,705.000000,537.198969,105,38.840000
153,705.000000,544.119125,105,38.946667
154,705.000000,546.868238,105,39.300000
155,705.000000,540.369724,105,38.746667
156,705.000000,517.614530,105,38.993333
157,705.000000,554.479689,105,38.800000
158,705.000000,532.170875,107,38.653333
159,705.000000,547.149605,107,39.273333
160,705.000000,537.920633,107,38.833333
161,705.000000,564.840865,108,39.133333
162,705.000000,567.781141,110,38.953333
163,705.000000,543.827340,110,39.553333
164,705.000000,550.819093,110,38.833333
165,705.000000,521.434281,110,39.540000
166,705.000000,566.706703,111,39.100000
167,705.000000,535.712984,111,39.033333
168,705.000000,536.653597,111,39.346667
169,705.000000,546.955603,111,39.006667
170,705.000000,558.963999,112,39.406667
171,705.000000,532.585160,112,39.306667
172,705.000000,553.955724,112,39.660000
173,705.000000,543.258767,112,39.166667
174,705.000000,546.047493,113,39.586667
175,705.000000,533.335430,113,39.340000
176,705.000000,558.569961,114,39.600000
177,705.000000,554.604028,114,39.440000
178,705.000000,532.753783,115,39.620000
179,705.000000,551.606027,115,39.533333
180,705.000000,549.018920,115,39.600000
181,705.000000,561.566538,115,39.413333
182,705.000000,552.888348,115,39.606667
183,705.000000,528.637846,115,39.353333
184,705.000000,564.477207,115,39.480000
185,705.000000,532.420178,115,39.280000
186,705.000000,547.046245,115,39.553333
187,705.000000,530.926266,115,39.493333
188,705.000000,539.717140,115,39.613333
189,705.000000,546.906185,115,39.373333
190,705.000000,560.781994,115,39.700000
191,705.000000,555.503115,115,39.373333
192,705.000000,548.818977,115,39.560000
193,705.000000,542.475613,115,39.406667
194,705.000000,565.137087,115,39.620000
195,705.000000,550.990788,115,39.433333
196,705.000000,564.785093,116,39.720000
197,705.000000,576.800909,116,39.326667
198,705.000000,557.095645,117,39.866667
199,705.000000,550.177877,117,39.373333
